epoch,train_loss,validation_loss
0,0.41544705629348755,0.1697552442550659
1,0.21754872798919678,0.17031105160713195
2,0.1568090245127678,0.15446534752845764
3,0.12944297045469283,0.21054893136024475
4,0.1131943255662918,0.1239156723022461
5,0.10214719027280808,0.11142433881759643
6,0.09448188021779061,0.10406008064746856
7,0.08973241522908211,0.09828583300113677
8,0.08648495227098466,0.09689528048038483
9,0.083488230407238,0.09178001582622528
10,0.08133290857076644,0.09875154793262482
11,0.08059825524687766,0.09037525653839111
12,0.07787096798419953,0.08664175570011139
13,0.07595226168632507,0.08633374273777009
14,0.07445922270417213,0.08657065629959107
15,0.07331513240933418,0.08876346051692963
16,0.07339133769273758,0.12373131811618805
17,0.07209246382117271,0.08477756679058075
18,0.07011790201067924,0.08497316539287567
19,0.06834589168429375,0.08435973525047302
20,0.06734734624624253,0.08324481546878815
21,0.06594425067305565,0.08215797245502472
22,0.0644788384437561,0.08137668669223785
23,0.06337309703230858,0.08038727641105652
24,0.06291327551007271,0.07748786211013795
25,0.06668462008237838,0.09867497980594635
26,0.0693499818444252,0.1620893359184265
27,0.06559502929449082,0.0841596782207489
28,0.06186059713363647,0.08329528272151947
29,0.059594491869211196,0.08144131004810333
30,0.05772829428315163,0.0808553785085678
31,0.05574214085936546,0.0791107475757599
32,0.05424696058034897,0.08018868267536164
33,0.052779237180948256,0.07979902625083923
34,0.05270262733101845,0.0798683375120163
35,0.052642112225294115,0.07520963847637177
36,0.05342592895030975,0.08362945020198823
37,0.05644102245569229,0.1327568531036377
38,0.057684702426195146,0.0777390480041504
39,0.05842026472091675,0.07395804226398468
40,0.052767589688301086,0.07833448350429535
41,0.04956482052803039,0.06881706863641739
42,0.047137773036956786,0.07499917596578598
43,0.045385122299194336,0.06995885521173477
44,0.043839124590158464,0.07316648960113525
45,0.04224939681589603,0.07456953227519988
46,0.04189099483191967,0.07360453605651855
47,0.042030394077301025,0.0761098638176918
48,0.04147581718862057,0.07039831578731537
49,0.039380171522498134,0.06883125305175782
50,0.03821347020566464,0.07346365749835967
51,0.038367648422718045,0.06753370314836502
52,0.03862725421786308,0.07524755299091339
53,0.03813251852989197,0.06972700506448745
54,0.037537473067641255,0.07236980497837067
55,0.036887946724891665,0.06393191814422608
56,0.035993737354874614,0.068364118039608
57,0.034194060042500495,0.06907822638750076
58,0.03236665241420269,0.06848191916942596
59,0.031678296625614166,0.06956067234277725
60,0.0321079283952713,0.07036561071872711
61,0.03307079449295998,0.06768238246440887
62,0.03257015086710453,0.07325561940670014
63,0.031280253827571866,0.06730300933122635
64,0.0298173725605011,0.06877902001142502
65,0.02791440524160862,0.06619991213083268
66,0.027093175798654556,0.06849824190139771
67,0.02629736252129078,0.06857710182666779
68,0.025993214920163155,0.06511272341012955
69,0.024947579205036163,0.0662108913064003
70,0.02457338310778141,0.06833633035421371
71,0.024459905177354812,0.06204748749732971
72,0.02468971610069275,0.07065106928348541
73,0.024313780665397643,0.06387210935354233
74,0.023824070766568183,0.07034324705600739
75,0.023741942644119263,0.06746078878641129
76,0.023007205873727798,0.07129818648099899
77,0.023156988620758056,0.07188653200864792
78,0.022870419546961784,0.067496857047081
79,0.022656580805778502,0.06983540803194047
80,0.021897980570793153,0.06742056757211685
81,0.021510900184512138,0.06641278117895126
82,0.020578297227621077,0.06682974249124526
83,0.019784757308661936,0.061917221546173094
84,0.019160922057926653,0.07203158587217331
85,0.018544126488268375,0.0655753716826439
86,0.018245387263596057,0.06702904999256135
87,0.017790563963353635,0.06933276355266571
88,0.01769372057169676,0.06662697941064835
89,0.016869750432670118,0.06867957413196564
90,0.016564702428877354,0.07320384383201599
91,0.016999913938343526,0.06668410748243332
92,0.016338449157774448,0.07146716564893722
93,0.01645849980413914,0.06409106701612473
94,0.01706662867218256,0.07242510169744491
95,0.017253529652953147,0.06592247039079666
96,0.016907484829425813,0.06521036177873611
97,0.016174709983170034,0.06580031663179398
98,0.01589828561991453,0.06724274754524232
99,0.015332764759659768,0.07241197228431702
